,,Mês,Ano,Tmáx,Tmin,ETP
,,10,1993,31.0458064516129,18.9529032258065,2.92909218352815
,,11,1993,31.3516666666667,17.6196666666667,3.5841012670779
,,12,1993,30.6270967741935,21.0716129032258,3.62120553187987
,,1,1994,30.6935483870968,20.1922580645161,3.81726361175865
,,2,1994,30.32,21.3907142857143,3.7280975202119
,,3,1994,30.4567741935484,18.8477419354839,3.67167835989592
,,4,1994,29.0353333333333,17.7916666666667,3.22756181167144
,,5,1994,27.2996774193548,16.2277419354839,2.47934720255648
,,6,1994,23699,12.3403333333333,1.79078072503653
,,7,1994,24.5393548387097,11.5190322580645,1.50567347738394
,,8,1994,28.4809677419355,12.6825806451613,1.73548913920565
,,9,1994,32.5236666666667,16.9456666666667,2.30718491654745
,,10,1994,31.0741935483871,19.68,2.76788820436156
,,11,1994,30.4906666666667,19701,3.44188706447181
,,12,1994,31.5158064516129,21.5667741935484,3.65848575481494
,,1,1995,29.4748387096774,21.8822580645161,3.44315434811143
,,2,1995,29.8275,21.1385714285714,3.66341318955432
,,3,1995,29.7225806451613,19.9270967741936,3.613042985724
,,4,1995,27.2213333333333,15.0896666666667,3.20205531016193
,,5,1995,25.5990322580645,13.1341935483871,2.56047160439525
,,6,1995,26.7943333333333,13.42,1.9655392874617
,,7,1995,27.5129032258064,14.7525806451613,1.60798079540928
,,8,1995,31.4422580645161,14.8232258064516,1.68861667289002
,,9,1995,33.3186666666667,17.7486666666667,2.0752868963848
,,10,1995,28.5406451612903,16.058064516129,2.55558579609019
,,11,1995,30.6223333333333,18.9386666666667,3.29689070430881
,,12,1995,32.0958064516129,20.658064516129,3.90037482283448
,,1,1996,30.3612903225807,21.6887096774193,3.55617105196423
,,2,1996,29.5906896551724,21.1168965517241,3.62581116225229
,,3,1996,28.9874193548387,20.1790322580645,3.59487416187873
,,4,1996,27578,17.9096666666667,3.08528704834497
,,5,1996,25.6012903225806,15.2464516129032,2.63900030524726
,,6,1996,22.0846666666667,10855,1.84266473162678
,,7,1996,23.5067741935484,9.39129032258064,1.59349108854669
,,8,1996,28.998064516129,14.6806451612903,1.72948600731286
,,9,1996,28.82,14.2216666666667,1.92115806084537
,,10,1996,30.3638709677419,18.4403225806452,2.6409682650287
,,11,1996,29.3603333333333,19.7283333333333,3.07987974101058
,,12,1996,29.931935483871,21.0451612903226,3.34749067421246
,,1,1997,29.4590322580645,21.4654838709677,3.44881015062011
,,2,1997,29.5164285714286,21.6635714285714,3.49305491239191
,,3,1997,28.5412903225806,18.9632258064516,3.56645014827144
,,4,1997,26.6493333333333,15423,3.18993278960166
,,5,1997,25.2267741935484,13.6958064516129,2.68006321178682
,,6,1997,22.5553333333333,12.7626666666667,1.7895870303957
,,7,1997,25.2222580645161,13.0512903225806,1.68719534606085
,,8,1997,26.4348387096774,12.91,1.57632550761197
,,9,1997,32292,17601,2.1116572187684
,,10,1997,31.1451612903226,18.9603225806452,2.48655817533289
,,11,1997,30.1443333333333,21.3216666666667,2.90063784368176
,,12,1997,29.9367741935484,20.7693548387097,3.36417421978757
,,1,1998,32.2883870967742,22.1712903225807,3.90184071818647
