Mês,Ano,Tmáx,Tmin,ETP
12,2002,30.961935483871,21.8606451612903,3.08757870476862
1,2003,31.3129032258065,22.4851612903226,3.59486258620427
2,2003,30.3121428571428,21.9389285714286,3.57600448923456
3,2003,29.7903225806452,20.4564516129032,3.77445671481023
4,2003,27.5283333333333,16411,3.64150727508611
5,2003,24.6890322580645,11.9929032258065,3.18346852522559
6,2003,26.2676666666667,13.9006666666667,2.86035437635725
7,2003,25.8706451612903,12.7132258064516,2.16103500315678
8,2003,24.5667741935484,9.34580645161291,1.55750500612655
9,2003,29.0893333333333,14.5613333333333,1.6602489145703
10,2003,31.4603225806452,17.9554838709677,1.99329847590304
11,2003,32.5046666666667,18.7006666666667,2.59976755403586
12,2003,30.1445161290323,20.9351612903226,2.90149243804071
1,2004,32.5551612903226,21.1009677419355,3.85585903673236
2,2004,33.7803448275862,20.8113793103448,4.20221553812252
3,2004,33.6670967741936,19.7341935483871,4.40962928820968
4,2004,30.8623333333333,19986,3.80378913485048
5,2004,22.098064516129,12.8432258064516,2.80153574065953
6,2004,22491,12.3336666666667,2.54609790158145
7,2004,22.2822580645161,11.8683870967742,1.9348068404627
8,2004,24.9716129032258,11.7070967741935,1.73347770823483
9,2004,29.4803333333333,15.5323333333333,1.79183514516735
10,2004,28.7725806451613,16.8222580645161,1.81810472458275
11,2004,28.8476666666667,18353,2.35064013877948
12,2004,29.7983870967742,19.6951612903226,2.94109089254921
1,2005,30.0667741935484,22.07,3.31343692442832
2,2005,33.2478571428571,21.0264285714286,4.15770390090628
3,2005,35.7596774193548,21.5277419354839,4.44914109161867
4,2005,32772,20.5213333333333,3.99380125210141
5,2005,28.3103225806452,14.7254838709677,3.44511939550126
6,2005,27119,15.5576666666667,2.92499018490582
7,2005,23.9067741935484,10.2874193548387,2.13104918375219
8,2005,29.5870967741935,13.0164516129032,1.86020184146474
9,2005,25.4353333333333,13116,1.49394390046872
10,2005,28.8370967741935,19.2474193548387,1.80909065358625
11,2005,30077,18.9693333333333,2.29865809939762
12,2005,31.2648387096774,20.5851612903226,2.93929774168154
1,2006,34.47,22.4003225806452,3.92053966000074
2,2006,32.6275,21.4371428571429,4.02866555529983
3,2006,32.0438709677419,21.668064516129,4.03052942414506
4,2006,28.1373333333333,17.4263333333333,3.67894928711836
5,2006,24.8138709677419,10.8483870967742,3.47159104442672
6,2006,26.8523333333333,13579,3.04380424945328
7,2006,27.9941935483871,13.3167741935484,2.51722346380568
8,2006,28.7838709677419,13.2129032258064,1.90298233599679
9,2006,28.1676666666667,14244,1.5800408345152
10,2006,30.8561290322581,20.4812903225806,1.85185868807909
11,2006,31.1646666666667,19.8673333333333,2.29627777472661
12,2006,30.5803225806452,22.4606451612903,2.6143490639728
1,2007,29.6025806451613,22.4016129032258,2.9437579639814
2,2007,29.8482142857143,21735,3.46159673360721
3,2007,30.4048387096774,20.5690322580645,3.94672610915121
4,2007,28.6836666666667,18825,3.64437186563462
5,2007,24.2561290322581,12.9116129032258,3.10075587500139
6,2007,25.9506666666667,12066,3.12473472852517
7,2007,23.1464516129032,10.11,2.23390408535196
8,2007,27.3741935483871,12.691935483871,2.00387903118788
9,2007,33.9243333333333,17359,1.82036790009929
10,2007,34.6025806451613,20.5816129032258,1.93562242466944
11,2007,31.0816666666667,18.7863333333333,2.10251364540849
12,2007,32.6867741935484,21.3632258064516,2.91281812219037
1,2008,31.8487096774194,21.4516129032258,3.37592266750684
2,2008,32.1055172413793,21.3948275862069,3.78091917056749
3,2008,31.2848387096774,19.771935483871,3.96324294822939
4,2008,29.8843333333333,17.77,3.88895187846825
5,2008,26.0787096774194,13.3912903225806,3.43709473058575
6,2008,23.9353333333333,12.0316666666667,2.88406761954989
7,2008,29.1803225806452,13.4632258064516,2.84866199512778
8,2008,27.2825806451613,14.5683870967742,2.10371275246406
9,2008,27926,12.4396666666667,1.65649555923416
10,2008,31.5745161290323,19.2961290322581,1.82843452822637
11,2008,30.9153333333333,20.0886666666667,2.06271269675096
12,2008,34.4796774193548,20.7709677419355,2.90738206008522
1,2009,32.3451612903226,21.3374193548387,3.33317329426092
2,2009,32.4167857142857,22.2135714285714,3.74717004587795
3,2009,33.8187096774194,21.5274193548387,4.30541156211552
4,2009,33.9536666666667,18.8623333333333,4.45233699331641
5,2009,28.3325806451613,16.0674193548387,3.57984908949935
6,2009,22549,10.3856666666667,2.97846030106408
7,2009,21.8812903225806,12.2877419354839,2.23789465628286
8,2009,25.5367741935484,13.4364516129032,2.0780454741138
9,2009,27051,15.8363333333333,1.72319570436406
10,2009,28.9754838709677,18.151935483871,1.68492264423344
11,2009,30616,22.5806666666667,1.93357180817211
12,2009,29.4154838709677,21.8841935483871,2.29382007672418
1,2010,30.04,22.3212903225806,2.86321850152213
2,2010,29.8546428571429,22.6139285714286,3.22634069082719
3,2010,30.1941935483871,20.7767741935484,3.75354237908945
4,2010,27.7446666666667,17.2636666666667,3.59529037985218
5,2010,23.2416129032258,12.7929032258065,3.09000710098008
6,2010,24.4283333333333,12.8996666666667,3.12769704734555
7,2010,24.4532258064516,12.2951612903226,2.59984767087618
8,2010,27.2090322580645,11.2241935483871,2.30370580030205
9,2010,30.7603333333333,16.2816666666667,1.8782105183272
10,2010,28.1925806451613,16.0648387096774,1.60142101045793
11,2010,29.5063333333333,16.9556666666667,1.89260544039859
12,2010,30.4696774193548,21.3767741935484,2.33379663827187
1,2011,30.9258064516129,22.2425806451613,2.9774868644436
2,2011,29.1921428571429,22.1625,3.06600760741891
3,2011,29.0516129032258,20.6387096774194,3.3646345436084
4,2011,27.9493333333333,18.3566666666667,3.60504893552979
5,2011,24.83,13.6864516129032,3.42416232249837
6,2011,23.3846666666667,11.0246666666667,3.05625754701636
7,2011,24.0761290322581,12.8251612903226,2.63923371415759
8,2011,25.0877419354839,12.8158064516129,2.18593651617045
9,2011,28.5733333333333,13.9403333333333,1.93462757491274
10,2011,30.0090322580645,18.0732258064516,1.72503538650855
11,2011,29.8853333333333,18308,1.80887139829454
12,2011,33.8370967741936,19.9151612903226,2.59072429906995
1,2012,32.9406451612903,20.7964516129032,3.09111473210414
2,2012,34.1513793103448,22.2058620689655,3.81053662442484
3,2012,32.2012903225806,18.9348387096774,4.03573110652995
4,2012,29.8263333333333,18.2196666666667,3.79706639387293
