,MES,ANO,TMAX,TMIN,ETP
,4,1998,28616,18762,3.29128556425559
,5,1998,24.6064516129032,13.9209677419355,2.75056315371237
,6,1998,25.1673333333333,13008,2.28228737954049
,7,1998,28.038064516129,14.4612903225806,2.00725549260065
,8,1998,28.5403225806452,16.0783870967742,1.8588610193719
,9,1998,29.0926666666667,16.4466666666667,2.04819539415099
,10,1998,30.0361290322581,18.9106451612903,2.5013440146133
,11,1998,31.1186666666667,20027,3.18837419353613
,12,1998,31.3429032258064,20.3196774193548,3.61574737676617
,1,1999,30.2909677419355,21.5683870967742,3.63377812307448
,2,1999,31.0428571428571,21.6935714285714,3.90878655917061
,3,1999,30.6390322580645,21.43,3.75946582886559
,4,1999,28.8856666666667,16853,3.60752663621878
,5,1999,26.5967741935484,13.3977419354839,2.99536246407985
,6,1999,26.4993333333333,13.3276666666667,2.52690290549204
,7,1999,28.5106451612903,14.6022580645161,2.08484426496945
,8,1999,31.0974193548387,14.0816129032258,1.71024268097627
,9,1999,33.3796666666667,17391,1.94302650530954
,10,1999,35.5258064516129,20.1045161290323,2.52559880682899
,11,1999,33.3893333333333,18.2236666666667,3.16879198098635
,12,1999,33.7383870967742,21.5470967741936,3.7884741438216
,1,2000,33.7061290322581,21.9783870967742,4.09116612989655
,2,2000,31.6310344827586,21.5896551724138,3.81233558012404
,3,2000,29.2909677419355,20.6632258064516,3.52568223087422
,4,2000,30803,17.7753333333333,3.92349858327841
,5,2000,27.8703225806452,14.0716129032258,3.23262888078093
,6,2000,27.6026666666667,15,2.55073896930327
,7,2000,24.7003225806452,9.41935483870968,1.80604298666065
,8,2000,29.6896774193548,15.3267741935484,1.80227232996251
,9,2000,29131,16.6753333333333,1.85607286424566
,10,2000,34.59,19.8803225806452,2.64738807813188
,11,2000,32.3486666666667,20.5436666666667,3.0426292615486
,12,2000,31.4858064516129,20.3716129032258,3.46021716233512
,1,2001,30.6048387096774,21.4558064516129,3.64348461378243
,2,2001,29.8053571428571,21.5196428571429,3.55270629980729
,3,2001,29.9374193548387,20.8977419354839,3.71222844058803
,4,2001,30.1633333333333,19.5336666666667,3.76201971220682
,5,2001,25.1551612903226,14.2667741935484,2.9311280063669
,6,2001,23.8376666666667,11.6153333333333,2.51709501546855
,7,2001,28.1267741935484,13.19,2.14786733175814
,8,2001,32,15.4148387096774,1.91893981663701
,9,2001,32.1286666666667,17308,1.93837930712773
,10,2001,31.6509677419355,18.7206451612903,2.36582500991602
,11,2001,31.1013333333333,21149,2.85504817965725
,12,2001,29.1477419354839,19.6877419354839,3.1832763345249
,1,2002,30.8254838709677,20.471935483871,3.65031979441386
,2,2002,30.8257142857143,20.36,3.8557678284243
,3,2002,31.8190322580645,21.6506451612903,3.94057671693535
,4,2002,34.02,20.7733333333333,4.30405528043157
,5,2002,29.2425806451613,17.5432258064516,3.39043559763152
,6,2002,30.5873333333333,15547,3.06104347252336
,7,2002,27.9603225806452,13.4454838709677,2.18470358831468
,8,2002,32.4351612903226,16.4858064516129,1.94230959747638
,9,2002,31.9793333333333,16.2986666666667,1.77989360297559
,10,2002,36.5277419354839,22.3464516129032,2.51650837938895
,11,2002,32679,20.7153333333333,2.76985575290971
,12,2002,32.7364516129032,22.5058064516129,3.3172332682563
,1,2003,30.3593548387097,22.3722580645161,3.29442756609362
,2,2003,30.1789285714286,21.5867857142857,3.62613231767048
,3,2003,30.2029032258064,20.5774193548387,3.74327287692939
,4,2003,28172,17.2066666666667,3.65959091831798
,5,2003,25.9645161290323,12.9587096774194,3.27065325191442
,6,2003,27.5566666666667,14.6053333333333,3.07310682641019
,7,2003,27.9974193548387,13.9016129032258,2.37803177467404
,8,2003,26.5838709677419,10.9348387096774,1.69073606317105
,9,2003,30.28,15919,1.8183079732938
,10,2003,31.7603225806452,18.8464516129032,2.12121811207792
,11,2003,32.0036666666667,19174,2.62736841379358
,12,2003,31.2538709677419,21.5593548387097,2.99308982252575
,1,2004,32.7432258064516,21.3241935483871,3.88203886590998
,2,2004,33.3841379310345,20.9944827586207,4.18281158394309
,3,2004,33.7374193548387,20.1025806451613,4.3635166799073
,4,2004,31.6853333333333,20344,3.92902332116205
,5,2004,23.5874193548387,13.82,2.9356215691559
,6,2004,24.2586666666667,13017,2.76185676487136
,7,2004,24.9567741935484,12.9364516129032,2.21196425542576
,8,2004,29.8732258064516,13.2945161290323,2.06276835274057
,9,2004,35.2243333333333,17602,1.96907566474601
,10,2004,31.6477419354839,18.4416129032258,2.02035930117026
,11,2004,31.2916666666667,19239,2.63511350087822
,12,2004,31.6025806451613,20.5,3.2125947353703
,1,2005,29.5954838709677,22.1235483870968,3.13109789212668
,2,2005,32.3539285714286,20.6378571428571,4.11147834252963
,3,2005,33.7603225806452,20.5896774193548,4.35660853840249
,4,2005,32.1836666666667,20047,4.08371222896179
,5,2005,28.3854838709677,15.3545161290323,3.61301158787986
,6,2005,27.4606666666667,15.3783333333333,3.06618772872919
,7,2005,25.0103225806452,11.5051612903226,2.26839774588887
,8,2005,31.1903225806452,14.4554838709677,2.00151594522684
,9,2005,28.9956666666667,14.7166666666667,1.74927972411772
,10,2005,31.2029032258065,20.3087096774194,2.04988080623277
,11,2005,31.1816666666667,20.0753333333333,2.45561828087186
,12,2005,30.3509677419355,20.7248387096774,2.88651806213957
,1,2006,31.1093548387097,21.4938709677419,3.54432712959928
,2,2006,30.9003571428571,20.9803571428571,3.74209523805924
,3,2006,30.6451612903226,21.088064516129,3.76230393676182
,4,2006,29.1473333333333,18.7413333333333,3.72152163466812
,5,2006,26.4370967741936,11.9451612903226,3.6060350711355
,6,2006,27.7963333333333,14505,3.20926403392357
,7,2006,29.4429032258064,14.5903225806452,2.65582232509835
,8,2006,31.3845161290323,14.9670967741935,2.07773590279752
,9,2006,30.0246666666667,15666,1.77518076799565
,10,2006,32.3612903225807,21.0925806451613,2.06281084339906
,11,2006,33.0486666666667,20.7783333333333,2.48387464495871
,12,2006,30.7090322580645,22.2741935483871,2.64861657324136
,1,2007,29.1754838709677,22.3106451612903,2.84089487621993
,2,2007,29675,21.5639285714286,3.3986672133525
,3,2007,30.7477419354839,20.0835483870968,4.03602613435524
,4,2007,30.2233333333333,19.0333333333333,3.88860812110143
,5,2007,26.44,13.7867741935484,3.36589481542371
,6,2007,28.4036666666667,13.2906666666667,3.35720277483717
,7,2007,26.6254838709677,12.01,2.47912611772671
,8,2007,30.3796774193548,13.838064516129,2.21614156251252
,9,2007,36.31,19.2003333333333,1.91821178855524
,10,2007,35.75,21.7161290322581,2.08828917373846
,11,2007,31924,19.9613333333333,2.27157622082169
,12,2007,32.2709677419355,21.3374193548387,2.92347171851102
,1,2008,30.5912903225806,21.6867741935484,3.1227658942889
,2,2008,30.6789655172414,20.7806896551724,3.60394166833934
,3,2008,29.5122580645161,19.5729032258065,3.75673078315065
,4,2008,28.5633333333333,17797,3.63424954708047
,5,2008,25.6635483870968,14.0454838709677,3.39781607639313
,6,2008,26333,13.5426666666667,3.13397788016479
,7,2008,30.4883870967742,14.7461290322581,2.88633623708736
,8,2008,31.76,15.9383870967742,2.30215342366379
,9,2008,31.6086666666667,14.9423333333333,1.83561432325457
,10,2008,33.4770967741935,20.5854838709677,1.92122102840183
,11,2008,32.8793333333333,20.8183333333333,2.31411671781621
,12,2008,33.5603225806452,20.8461290322581,2.99993249214142
,1,2009,31.2932258064516,20.9167741935484,3.22650508874174
,2,2009,31.5339285714286,21.7375,3.72729362559778
,3,2009,31.8025806451613,21.1767741935484,4.03242706433535
,4,2009,32.2533333333333,18.5326666666667,4.307427476773
,5,2009,29.4083870967742,16.5548387096774,3.6966577790922
,6,2009,24.9863333333333,12.1496666666667,3.15837253585518
,7,2009,25.6958064516129,13.9045161290323,2.59277498798424
,8,2009,28.2754838709677,14.8696774193548,2.27866714686014
,9,2009,29.8676666666667,17.3263333333333,1.96157941454638
,10,2009,30.8232258064516,19.5245161290323,1.87457736263053
,11,2009,30724,22.4813333333333,1.98965084730665
,12,2009,29.3425806451613,21.7677419354839,2.29640628612332
,1,2010,29.6287096774194,21.8996774193548,2.84148866180892
,2,2010,30.1385714285714,22.1978571428571,3.30696394263009
,3,2010,30.7087096774194,20.5367741935484,3.71746598082838
,4,2010,28.7976666666667,17.7,3.7406769908654
,5,2010,25.2138709677419,13.5845161290323,3.34422107191472
,6,2010,27.1096666666667,13.7903333333333,3.41048182479459
,7,2010,28.0964516129032,13.7061290322581,2.90286557048039
