@relation dados-climaticos-verao

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
23.6,18.8,3.501983
24.9,18.8,3.606307
26.8,18.3,3.718548
28.9,18.9,3.937518
28.8,18.8,3.917249
26.2,18.4,3.666655
27.6,18.6,3.794189
26.6,19.1,3.749
22.8,17.2,3.277643
24.2,17.3,3.396502
30,16.8,2.746531
25.6,16.8,3.461396
26.8,17.4,3.603517
26.1,19.2,3.688074
26.9,18.4,3.682769
26.9,17.1,3.571751
25.6,18.6,3.58245
26,17.7,3.536271
25.6,19.6,3.651616
27.6,17.8,3.661519
26.6,18.4,3.622869
25.4,17.4,3.43949
25.8,19,3.593468
27.5,17.5,3.60254
29.5,16.8,3.699241
29.1,18.7,3.811268
28.2,15.4,3.469064
29.6,15,3.540945
28.8,14.8,3.453848
28.4,16.2,3.52499
27.4,16.5,3.461526
28.3,14.8,3.390267
25.6,17.8,3.405441
25.6,17.4,3.365523
27.2,16.2,3.388032
27.8,17.6,3.534766
27.7,14.5,3.276706
27.4,15.8,3.345047
29,16.4,3.505429
29.2,18.8,3.695444
27.2,19.4,3.577047
27,17.8,3.428496
27,17.8,3.417938
27.7,18.8,3.536496
22.4,17.4,3.01725
26.8,15.4,3.188766
24,16.8,3.072746
24.8,18.6,3.257519
25.8,17.3,3.599679
23.8,18.7,3.549879
26,15.1,3.433204
26.4,15.1,3.46684
29.1,15.3,3.709296
28.8,16.8,3.809701
27.2,15.6,3.575873
28.3,17.2,3.801514
26.4,18.4,3.74304
27.2,11,3.191578
26.4,17.6,3.676077
26.6,18.4,3.759483
26.2,17.6,3.659042
28.6,17.8,3.875989
26.3,17.2,3.633444
26.6,18.5,3.766722
24.6,19.4,3.674435
29.6,17.6,3.941154
27.4,15,3.539837
29.8,16.2,3.839755
29.6,17.6,3.939197
27.8,18.4,3.854955
28,14.8,3.570459
27,18.4,3.786431
27.4,20,3.952183
28.2,19.4,3.967715
28,18.9,3.908149
25.6,19.8,3.781885
26.9,18.8,3.805504
28.2,17.6,3.812359
27.6,17,3.71094
30,17.2,2.86099
26.2,16,3.508058
29.6,14.8,3.689104
29.2,17.6,3.886461
32.2,17.4,4.11668
