@relation dados-climaticos-inverno

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
32.3,13.2,3.047178
31.3,14.2,3.060766
31.7,14.6,3.128402
29.8,17.6,3.216862
30.6,15.2,3.121912
32.5,11,2.978061
30.8,14.8,3.135345
28.8,17.8,3.217873
27.2,17,3.065161
30.4,15.2,3.175622
29,14.6,3.04907
28.8,14.4,3.033647
29.6,17.8,3.34228
30.4,12.2,3.016057
31.8,13,3.184599
31.2,16.2,3.382851
30.8,17.8,3.482163
32,14.2,3.323096
33.4,16,3.566937
32.1,14.4,3.370295
33.4,16,3.593906
34.3,16.3,3.69482
31,15.4,3.400489
24.8,8.7,1.816448
23.8,12.8,1.983879
24.2,5.7,1.620384
22.2,12.2,1.864123
25.5,9.8,1.913009
26.9,11.2,2.065144
25.8,10.8,1.984478
25.4,13.2,2.093865
25,11.2,1.964818
24.7,11.4,1.960783
24.8,9.2,1.84827
22.4,8.8,1.697699
17.9,9.8,1.5089
21.2,11,1.756166
23.6,10,1.834983
25.6,9.8,1.936121
27.1,9,1.977542
28.2,9.2,2.052256
28,10.2,2.099985
26.6,9.3,1.977384
24.8,10.8,1.964898
22.8,11.6,1.902792
23.3,10.2,1.857243
22.2,6.9,1.617169
23.5,10.6,1.899773
24.2,9.6,1.887967
25,8.8,1.893082
25.3,9.6,1.960183
26.4,8.6,1.971515
26.9,12.6,2.231677
28.8,6.1,1.97789
26.7,10.2,2.097899
27.6,6.9,1.967872
27.5,7.5,2.003097
28,12.4,2.320103
29.1,9.8,2.241824
28.6,10,2.232537
30.5,9.8,2.339416
29.4,12,2.412263
27.6,15.2,2.503336
28,13.1,2.413217
28.5,15.8,2.611345
28,11.8,2.355457
28,12.8,2.424421
27.8,12,2.374704
27,11.8,2.324654
26.6,12.3,2.340436
26.6,10.8,2.259739
27.7,10.6,2.324035
29,10.4,2.40112
28.8,12.2,2.509518
28,10.2,2.348402
29.2,9.4,2.383481
29,10.3,2.437494
29.8,11,2.541839
29.8,11.5,2.584541
30.2,12.2,2.665339
30.6,10.2,2.576359
31.8,10.4,2.676847
30.6,13,2.778219
28.6,14.2,2.739654
28.8,11.3,2.578516
26.8,12.4,2.532128
27.8,12.6,2.621529
27.8,13,2.659534
28.6,10.6,2.566852
30,11,2.696897
30,12.4,2.801609
29.6,17,3.093021
30,14.8,2.986919
28.6,14.9,2.913236
28.6,14.2,2.879138
27,11.4,2.594614
27.9,13,2.775731
28,13,2.794725
26.8,10.5,2.553602
29,11.3,2.77093
27.1,14.7,2.886418
28.2,12.2,2.801641
27.8,14.4,2.938843
28.6,9.6,2.671433
28.4,14,2.977469
28.6,12,2.862797
30.2,11.7,2.966497
31.6,11.6,3.070863
30.9,12.2,3.075968
31.8,13.6,3.252885
32.3,12.4,3.215204
33.9,14,3.458629
32.5,15,3.442774
29.2,15.6,3.259251
29.2,16.6,3.344323
28.2,15.4,3.195287
25.6,11.8,2.027915
25.9,7,1.783323
27.4,10.8,2.070189
25,11.4,1.972502
25.1,12.6,2.043072
25,11.4,1.972999
26.5,8,1.870614
26.6,9.6,1.963676
26.8,9,1.943107
26.5,8.8,1.917331
26,9,1.902631
26,8.3,1.866381
25.8,11.4,2.026393
26.6,9.7,1.979777
25.2,11,1.976976
26.2,9.2,1.936121
26.6,9.2,1.961108
27.4,11.8,2.151028
28.3,9.4,2.072498
27.4,10,2.060004
27.2,9.4,2.020092
26.4,8.8,1.947043
27.3,9.6,2.045739
27.7,9.8,2.083981
29.4,7.8,2.07248
28.5,8,2.038781
30,9.9,2.234733
28.6,10.4,2.190462
29.4,11.6,2.309489
28.8,12.7,2.344673
29.4,12.3,2.363267
29.8,10.8,2.308258
29.5,14,2.48123
30,11.8,2.39227
27.6,13,2.331588
29.4,10.8,2.316744
25.6,14.9,2.342428
25.8,12.4,2.217511
25.4,12,2.179194
25.5,9,2.017876
25.4,6.7,1.884775
25.8,7.8,1.980614
26.8,10.2,2.189746
27.8,14.8,2.53138
28.6,9.6,2.279238
27.6,14,2.492413
28.2,7.2,2.129857
27.2,10.4,2.271823
26.6,12.6,2.378647
25.8,12.4,2.327989
26.5,10.6,2.270808
26.9,11.4,2.35455
26.6,12.8,2.43288
27,11.2,2.369269
25.5,9.8,2.199189
25.4,10.2,2.227837
24.8,11.2,2.263024
26.6,11.1,2.380606
27.5,8.2,2.264537
28.2,8.5,2.338547
28.8,9.8,2.470809
28.8,11,2.559225
27.4,15.2,2.751751
28,12.2,2.608551
30.8,9.2,2.607386
32.2,11.8,2.881161
32.9,15.4,3.177077
32.8,13,3.026266
30.4,15.8,3.066471
26.4,13,2.626889
26.8,12,2.598473
28,11.2,2.636968
28.8,10,2.621642
28.7,13.1,2.83681
27.8,16,2.985584
27,13.6,2.779524
27.6,12.2,2.736551
28.6,13.2,2.886418
28.3,10.8,2.711489
28.2,13,2.869202
29.2,10.8,2.797312
29.8,10.6,2.837022
29.3,11.7,2.891002
28.8,12.8,2.945257
29.5,12.4,2.978453
30.4,11.9,3.018874
32.9,16.7,3.553812
33.7,13,3.359061
32.5,17,3.574157
31.4,16.9,3.500758
33.1,13,3.353828
32.5,12,3.249397
32.3,11.6,3.217273
26.8,7,1.832107
26.8,6.8,1.8209
26.1,8.5,1.874961
25.2,8,1.799204
25,8.4,1.810389
24.1,9.2,1.805549
23.6,9.4,1.790092
25.6,13.2,2.105938
25.7,11,1.993372
26,9.2,1.913503
25.6,11.8,2.035063
25.6,8.8,1.873869
24.8,8.2,1.799798
25.2,8.4,1.834983
25.2,11.6,2.012691
23.6,5.2,1.577651
22.6,4.4,1.481575
23.4,8.2,1.73716
23.8,9.2,1.817651
23.6,8.2,1.755162
22.7,6.6,1.620692
23,3.4,1.463618
