@relation dados-climaticos-verao

@attribute Data date dd/MM/yyyy
@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
23/12/2002,27.2,15.4,3.558732
24/12/2002,30,17.2,3.943216
25/12/2002,30.4,19.2,4.143886
26/12/2002,30.4,18.6,4.093874
27/12/2002,30.2,18.4,4.060518
28/12/2002,27.4,16.2,3.64278
29/12/2002,25.3,17.4,3.567549
30/12/2002,25.2,17.8,3.592529
31/12/2002,27,18.6,3.80961
01/01/2003,27.6,18.4,3.842829
02/01/2003,27.4,18.9,3.867635
03/01/2003,27.4,18.8,3.858968
04/01/2003,27.8,18.4,3.858594
05/01/2003,28.4,17.3,3.816402
06/01/2003,28.8,19.2,4.007954
07/01/2003,28.5,19.6,4.015712
08/01/2003,27.6,19.7,3.948269
09/01/2003,28.2,17.4,3.805665
10/01/2003,30,17.6,3.971772
11/01/2003,29.4,17.5,3.912489
12/01/2003,28.6,17.6,3.853152
13/01/2003,29.8,18.5,4.027224
14/01/2003,30.8,18.8,4.134426
15/01/2003,25.6,19,3.716491
16/01/2003,28,19.2,3.931828
17/01/2003,21.8,18.4,3.347511
18/01/2003,27.2,17.2,3.695824
19/01/2003,27,17.8,3.727581
20/01/2003,27.6,17.2,3.72594
21/01/2003,25,18.9,3.649378
22/01/2003,28,19,3.905133
23/01/2003,27.4,17.8,3.753591
24/01/2003,28.2,18.6,3.884286
25/01/2003,30,16.3,3.840514
26/01/2003,29.6,15.2,3.713769
27/01/2003,29.3,17.2,3.852152
28/01/2003,27.6,19,3.857756
29/01/2003,28.8,19.2,3.970753
30/01/2003,24.4,17.6,3.471742
31/01/2003,27.8,17.6,3.749765
01/02/2003,27.6,17.8,3.746598
02/02/2003,28,16.6,3.677323
03/02/2003,28,12.8,3.360894
04/02/2003,29,15.8,3.686823
05/02/2003,29.2,17.2,3.814636
06/02/2003,29.4,17.8,3.876314
07/02/2003,29.4,18.6,3.937681
08/02/2003,29.4,18.4,3.916783
09/02/2003,29.6,15.4,3.682954
10/02/2003,29.4,14.8,3.612996
11/02/2003,30.3,13.4,3.567524
12/02/2003,30,15.6,3.717656
13/02/2003,28.8,16.4,3.679932
14/02/2003,28,18.4,3.772196
15/02/2003,25,18.4,3.523045
16/02/2003,24.2,17.6,3.387928
17/02/2003,27.8,19.2,3.803312
18/02/2003,26.8,18.8,3.683932
19/02/2003,29.2,17.8,3.79056
20/02/2003,28.4,17,3.655072
21/02/2003,28.8,16.6,3.648431
22/02/2003,29,14.2,3.46513
23/02/2003,26.6,16.4,3.442428
24/02/2003,28.8,18.5,3.779139
25/02/2003,28.6,15.6,3.524227
26/02/2003,29.6,15.2,3.564543
27/02/2003,30.3,14.8,3.580642
28/02/2003,30.4,16.8,3.739029
01/03/2003,29.2,16.2,3.588219
02/03/2003,27.2,16.6,3.453641
03/03/2003,28.2,17.2,3.571186
04/03/2003,28.8,16.6,3.562374
05/03/2003,29.2,15.4,3.490751
06/03/2003,29.4,17.4,3.653454
07/03/2003,29.1,15,3.43355
08/03/2003,28.6,15,3.385412
09/03/2003,27.4,17.6,3.484424
10/03/2003,25.6,17.8,3.351005
11/03/2003,26.4,19.2,3.510672
12/03/2003,25.6,17.3,3.293033
13/03/2003,27.4,17.1,3.405538
14/03/2003,26,18.4,3.38742
15/03/2003,29.2,17.6,3.559312
16/03/2003,28,16.6,3.38114
17/03/2003,29.4,15.6,3.400343
18/03/2003,26,16.8,3.223371
19/03/2003,23,11.8,2.61202
20/03/2003,27,16,3.216407
22/12/2003,30.8,16.7,3.967512
23/12/2003,27.4,17.6,3.758982
24/12/2003,26.6,14.8,3.458486
25/12/2003,28,14.8,3.575628
27/12/2003,21.4,16.4,3.158042
28/12/2003,24.8,14.8,3.308518
29/12/2003,24.6,16.7,3.450605
30/12/2003,27.6,17.6,3.77646
31/12/2003,29.2,18.6,3.99365
01/01/2004,27.8,19.4,3.943428
02/01/2004,28.8,19.1,4.001761
03/01/2004,28.8,19.2,4.009909
04/01/2004,26.9,17.8,3.73398
05/01/2004,28,16.8,3.742029
06/01/2004,28.6,19.8,4.042336
07/01/2004,28.4,17.8,3.858157
08/01/2004,27.4,17.8,3.774156
09/01/2004,28.1,18.6,3.89883
10/01/2004,27.2,18.4,3.806365
11/01/2004,28.2,19.6,3.989272
12/01/2004,24.8,19.8,3.72145
13/01/2004,27.6,19.6,3.937516
14/01/2004,25.3,19.6,3.74473
15/01/2004,28.4,17,4.735949
16/01/2004,26.4,19.8,3.851017
17/01/2004,25.6,19.8,3.783154
18/01/2004,25.6,18.6,3.681924
19/01/2004,26.2,19.2,3.780523
20/01/2004,25.2,19.8,3.745768
21/01/2004,22.4,19.2,3.461325
22/01/2004,26.6,20,3.875643
23/01/2004,25.4,19.8,3.757446
24/01/2004,22.2,19.2,3.43984
25/01/2004,22.4,19.2,3.454632
26/01/2004,25.8,19.4,3.75149
27/01/2004,24.2,19.2,3.599963
28/01/2004,25.2,19.2,3.68061
29/01/2004,27.4,19.8,3.910142
30/01/2004,28.1,20,3.981933
31/01/2004,27.4,19.6,3.888029
01/02/2004,25.8,19,3.703192
02/02/2004,23.6,18.8,3.501983
03/02/2004,24.9,18.8,3.606307
04/02/2004,26.8,18.3,3.718548
05/02/2004,28.9,18.9,3.937518
06/02/2004,28.8,18.8,3.917249
07/02/2004,26.2,18.4,3.666655
08/02/2004,27.6,18.6,3.794189
09/02/2004,26.6,19.1,3.749
10/02/2004,22.8,17.2,3.277643
11/02/2004,24.2,17.3,3.396502
12/02/2004,30,16.8,2.746531
13/02/2004,25.6,16.8,3.461396
14/02/2004,26.8,17.4,3.603517
15/02/2004,26.1,19.2,3.688074
16/02/2004,26.9,18.4,3.682769
17/02/2004,26.9,17.1,3.571751
18/02/2004,25.6,18.6,3.58245
19/02/2004,26,17.7,3.536271
20/02/2004,25.6,19.6,3.651616
21/02/2004,27.6,17.8,3.661519
22/02/2004,26.6,18.4,3.622869
23/02/2004,25.4,17.4,3.43949
24/02/2004,25.8,19,3.593468
25/02/2004,27.5,17.5,3.60254
26/02/2004,29.5,16.8,3.699241
27/02/2004,29.1,18.7,3.811268
28/02/2004,28.2,15.4,3.469064
29/02/2004,29.6,15,3.540945
01/03/2004,28.8,14.8,3.453848
02/03/2004,28.4,16.2,3.52499
03/03/2004,27.4,16.5,3.461526
04/03/2004,28.3,14.8,3.390267
05/03/2004,25.6,17.8,3.405441
06/03/2004,25.6,17.4,3.365523
07/03/2004,27.2,16.2,3.388032
08/03/2004,27.8,17.6,3.534766
09/03/2004,27.7,14.5,3.276706
10/03/2004,27.4,15.8,3.345047
11/03/2004,29,16.4,3.505429
12/03/2004,29.2,18.8,3.695444
13/03/2004,27.2,19.4,3.577047
14/03/2004,27,17.8,3.428496
15/03/2004,27,17.8,3.417938
16/03/2004,27.7,18.8,3.536496
17/03/2004,22.4,17.4,3.01725
18/03/2004,26.8,15.4,3.188766
19/03/2004,24,16.8,3.072746
20/03/2004,24.8,18.6,3.257519
22/12/2004,25.8,17.3,3.599679
23/12/2004,23.8,18.7,3.549879
24/12/2004,26,15.1,3.433204
25/12/2004,26.4,15.1,3.46684
26/12/2004,29.1,15.3,3.709296
27/12/2004,28.8,16.8,3.809701
28/12/2004,27.2,15.6,3.575873
29/12/2004,28.3,17.2,3.801514
30/12/2004,26.4,18.4,3.74304
31/12/2004,27.2,11,3.191578
01/01/2005,26.4,17.6,3.676077
02/01/2005,26.6,18.4,3.759483
03/01/2005,26.2,17.6,3.659042
04/01/2005,28.6,17.8,3.875989
05/01/2005,26.3,17.2,3.633444
06/01/2005,26.6,18.5,3.766722
07/01/2005,24.6,19.4,3.674435
08/01/2005,29.6,17.6,3.941154
09/01/2005,27.4,15,3.539837
10/01/2005,29.8,16.2,3.839755
11/01/2005,29.6,17.6,3.939197
12/01/2005,27.8,18.4,3.854955
13/01/2005,28,14.8,3.570459
14/01/2005,27,18.4,3.786431
15/01/2005,27.4,20,3.952183
16/01/2005,28.2,19.4,3.967715
17/01/2005,28,18.9,3.908149
18/01/2005,25.6,19.8,3.781885
19/01/2005,26.9,18.8,3.805504
20/01/2005,28.2,17.6,3.812359
21/01/2005,27.6,17,3.71094
22/01/2005,30,17.2,2.86099
23/01/2005,26.2,16,3.508058
24/01/2005,29.6,14.8,3.689104
25/01/2005,29.2,17.6,3.886461
26/01/2005,32.2,17.4,4.11668
27/01/2005,27.8,17.6,3.76586
28/01/2005,29,17,3.813245
29/01/2005,23.8,16.8,3.363385
30/01/2005,28,17.6,3.774972
31/01/2005,26.8,18.4,3.739125
01/02/2005,26.4,18.4,3.703192
02/02/2005,21.2,16.8,3.13857
03/02/2005,26,16.6,3.51553
04/02/2005,29,18.8,3.941166
05/02/2005,29.4,14,3.575069
06/02/2005,29.4,14,3.57161
07/02/2005,29,20,4.028387
08/02/2005,27.8,18.6,3.810614
09/02/2005,26.8,16.8,3.576727
10/02/2005,27.5,13.8,3.384166
11/02/2005,27.1,18.6,3.740244
12/02/2005,26.8,17.8,3.645692
13/02/2005,29,18.4,3.86958
14/02/2005,28.8,15.6,3.619823
15/02/2005,28.4,15.6,3.582235
16/02/2005,29.4,19.2,3.95105
17/02/2005,28.8,14,3.47434
18/02/2005,26.2,18.4,3.614871
19/02/2005,26.8,17.8,3.6091
20/02/2005,29,19.2,3.89398
21/02/2005,30.6,16.2,3.77443
22/02/2005,29.6,15,3.590666
23/02/2005,30.2,16.6,3.760938
24/02/2005,29.6,17.2,3.753891
25/02/2005,30.6,16.8,3.794676
26/02/2005,29.4,16.6,3.675272
27/02/2005,27.8,18.8,3.715588
28/02/2005,28.4,17.8,3.675935
01/03/2005,28,19.2,3.747368
02/03/2005,28,17.4,3.596439
03/03/2005,28.4,18.4,3.698869
04/03/2005,27.2,17.8,3.548261
05/03/2005,26.4,17.8,3.476793
06/03/2005,27.6,16.4,3.452521
07/03/2005,27.3,18.5,3.584673
08/03/2005,27.6,17.6,3.528549
09/03/2005,29.2,16.2,3.534766
10/03/2005,29.2,16.2,3.525177
11/03/2005,28,16,3.406993
12/03/2005,28,18.8,3.613526
13/03/2005,29.2,17,3.556865
15/03/2005,27.3,19.2,3.569371
16/03/2005,28,17.8,3.505025
17/03/2005,27.8,17,3.417938
18/03/2005,27.2,16.4,3.315941
19/03/2005,27.2,18.4,3.45695
20/03/2005,28.1,17.4,3.438125
22/12/2005,30.2,14.2,3.707473
23/12/2005,29.2,14.2,3.624374
24/12/2005,30.6,14.4,3.758365
25/12/2005,30.4,13.2,3.641758
26/12/2005,26.8,17.4,3.692156
27/12/2005,25.2,17,3.525317
28/12/2005,23.9,16.1,3.341708
29/12/2005,25.6,16.4,3.508936
30/12/2005,26.6,16.6,3.609293
31/12/2005,22.8,16.2,3.258441
01/01/2006,27.8,16.2,3.6762
02/01/2006,28.3,16.4,3.734648
03/01/2006,26.8,15.6,3.542401
04/01/2006,26.6,15.2,3.492142
05/01/2006,24.6,16.8,3.458546
06/01/2006,24.2,16.6,3.408197
07/01/2006,29,15.2,3.691913
08/01/2006,27.8,15.2,3.591332
09/01/2006,25.6,16.4,3.507415
10/01/2006,26.4,16.2,3.557059
11/01/2006,27.2,17,3.690113
12/01/2006,25.4,17.2,3.555947
13/01/2006,25.8,16.6,3.538601
14/01/2006,28.2,16.7,3.746482
15/01/2006,28.7,13.9,3.553775
16/01/2006,29.2,12.4,3.469505
17/01/2006,29.6,12.8,3.535286
18/01/2006,30.2,12.6,3.567609
19/01/2006,29.9,14.2,3.674826
20/01/2006,29.2,14.8,3.665263
21/01/2006,32.5,14.4,3.90543
22/01/2006,29.8,16.4,3.845655
23/01/2006,30.9,14.9,3.810786
24/01/2006,32.3,14.4,3.88396
25/01/2006,32.5,15.1,3.956956
26/01/2006,31.7,14.6,3.846971
27/01/2006,30.4,15.2,3.786808
28/01/2006,29.4,16.2,3.784689
29/01/2006,28.8,16.8,3.78245
30/01/2006,25.6,15.2,3.382182
31/01/2006,26.1,15.1,3.41309
01/02/2006,28.4,17.2,3.774972
02/02/2006,25.8,17.2,3.557133
03/02/2006,26.9,16.6,3.595733
04/02/2006,28.6,16.4,3.716727
05/02/2006,27.1,16.2,3.573297
06/02/2006,28.2,17,3.726793
07/02/2006,28.8,16.2,3.706869
08/02/2006,26.6,16.4,3.538691
09/02/2006,27.8,16.2,3.617327
10/02/2006,27.7,18.1,3.761338
11/02/2006,27.7,16.2,3.601337
12/02/2006,26.4,16.2,3.49069
13/02/2006,28.2,16.4,3.650216
14/02/2006,28.5,17.6,3.768305
15/02/2006,28.2,17.4,3.722634
16/02/2006,26.8,16.2,3.505684
17/02/2006,29.6,16.2,3.728781
18/02/2006,33.1,14,3.829104
19/02/2006,27.4,18.2,3.701633
20/02/2006,29,15.4,3.59866
21/02/2006,28.6,16.2,3.625284
22/02/2006,27.6,16.4,3.554671
23/02/2006,28.2,16.5,3.605064
24/02/2006,29.1,16.2,3.647021
25/02/2006,28.8,17.6,3.728793
26/02/2006,27.8,17.8,3.657637
27/02/2006,27.6,17.8,3.634563
28/02/2006,26.8,18.2,3.595375
01/03/2006,27.4,16.8,3.524227
02/03/2006,29.6,17.2,3.723675
03/03/2006,29.2,17.4,3.699732
04/03/2006,28.8,18.8,3.770715
05/03/2006,29.4,16.2,3.604026
06/03/2006,30.4,16.3,3.682307
07/03/2006,27,16,3.382401
08/03/2006,27,16,3.374055
09/03/2006,27.2,14.8,3.287255
10/03/2006,26.9,17.8,3.489517
11/03/2006,28.3,17.8,3.589266
12/03/2006,25.8,18.4,3.432
13/03/2006,27.1,17.6,3.461195
14/03/2006,26.4,18.8,3.489986
15/03/2006,26.4,18.6,3.464478
16/03/2006,27,17.4,3.408174
17/03/2006,22.4,17.4,3.045852
18/03/2006,23.4,15.3,2.952549
19/03/2006,27,16.2,3.285519
20/03/2006,24.8,16.1,3.100641
22/12/2006,29.4,14.4,3.657372
23/12/2006,30.6,16.4,3.925013
24/12/2006,31.2,14,3.775069
25/12/2006,31,16,3.925749
26/12/2006,30,17,3.926048
27/12/2006,27.6,16.4,3.675686
28/12/2006,28.4,17.5,3.83461
29/12/2006,27.9,15,3.584127
30/12/2006,24.8,16,3.408776
31/12/2006,26.9,14.8,3.484025
01/01/2007,22.1,15.6,3.149835
02/01/2007,26.8,16,3.575904
03/01/2007,27,16.8,3.659367
04/01/2007,27.3,15.6,3.584041
05/01/2007,26.6,17.4,3.67575
06/01/2007,25.2,16.6,3.491731
07/01/2007,25,16.6,3.474742
08/01/2007,28.4,14.4,3.574628
09/01/2007,30.2,15.4,3.808051
10/01/2007,28.4,17.8,3.857655
11/01/2007,26.4,16.8,3.606627
12/01/2007,29.5,17.1,3.889838
13/01/2007,24.2,18.5,3.563638
14/01/2007,22.6,17.4,3.337624
15/01/2007,27,17.4,3.703934
16/01/2007,28,16.9,3.74473
17/01/2007,29.9,14.8,3.727059
18/01/2007,31,16.4,3.951044
19/01/2007,30,16.2,3.849818
20/01/2007,30.6,16.8,3.948488
21/01/2007,31.6,15.4,3.913757
22/01/2007,30,16.2,3.845655
23/01/2007,28.1,14.8,3.569492
24/01/2007,26.9,16,3.56792
25/01/2007,27.9,18,3.815636
26/01/2007,28.2,17,3.755575
27/01/2007,24,17.2,3.421414
28/01/2007,23.2,15.5,3.212006
29/01/2007,28.3,17.9,3.832219
30/01/2007,22.8,18.2,3.398761
31/01/2007,28.6,17.2,3.794163
01/02/2007,27.4,17.4,3.708744
02/02/2007,27.9,17.8,3.780487
03/02/2007,24,19.2,3.570935
04/02/2007,26,17.4,3.584577
05/02/2007,24.4,17.6,3.466016
06/02/2007,25.5,17.1,3.51242
07/02/2007,23,17.8,3.360894
08/02/2007,27.4,18,3.7362
09/02/2007,29.1,14.7,3.600885
10/02/2007,29.6,14.4,3.613513
11/02/2007,29.6,14.4,3.609541
12/02/2007,30.8,15.2,3.769289
13/02/2007,24.1,17.9,3.437424
14/02/2007,25.5,17.2,3.490383
15/02/2007,28.4,17.2,3.722634
16/02/2007,28.6,19.4,3.913322
17/02/2007,27.4,17.4,3.647366
18/02/2007,27.9,16.4,3.601471
