@relation dados-climaticos-inverno

@attribute Data date dd/MM/yyyy
@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
05/07/2003,26.6,5.9,1.783377
06/07/2003,26.5,7.4,1.863599
07/07/2003,27.1,11.8,2.142625
08/07/2003,28,9.5,2.069767
09/07/2003,28.8,8.3,2.052139
10/07/2003,29,9.8,2.151076
11/07/2003,28.9,10.2,2.172897
12/07/2003,27.6,14,2.317612
13/07/2003,25,12.2,2.077881
14/07/2003,22.9,11.6,1.932288
15/07/2003,23.3,13,2.038815
16/07/2003,24.2,11.4,2.005312
17/07/2003,24.6,13,2.124331
18/07/2003,25.2,12.8,2.153576
19/07/2003,27.1,14.4,2.359426
20/07/2003,27.8,9.4,2.121879
21/07/2003,26.8,7.9,1.985928
22/07/2003,26.4,10.5,2.119104
23/07/2003,25,12.5,2.161142
24/07/2003,26.8,10.8,2.174699
25/07/2003,26.7,11.8,2.234926
26/07/2003,25,13.6,2.249114
27/07/2003,24.6,11.8,2.129005
28/07/2003,25.3,12.8,2.23707
29/07/2003,26.2,12.8,2.298927
30/07/2003,26,14.4,2.390966
31/07/2003,26.3,12.4,2.299634
01/08/2003,27.4,12.1,2.356804
02/08/2003,27.6,13.2,2.444482
03/08/2003,26,11.3,2.244171
04/08/2003,25,10.1,2.120771
05/08/2003,28.6,10.1,2.348307
06/08/2003,29.8,11,2.486439
07/08/2003,29.8,11.3,2.515639
08/08/2003,29.6,13.2,2.631194
09/08/2003,29.4,13.6,2.655173
10/08/2003,28,14.2,2.61736
11/08/2003,30,15,2.803498
12/08/2003,29.8,13,2.678411
13/08/2003,30,13.6,2.740773
14/08/2003,29.6,15.6,2.854202
15/08/2003,30.8,14.4,2.867144
16/08/2003,27,11.2,2.434128
17/08/2003,27.7,11.6,2.515616
18/08/2003,29.2,8,2.39204
19/08/2003,27,10.3,2.409397
20/08/2003,26.6,11,2.439839
21/08/2003,27.2,10.2,2.437906
22/08/2003,29.1,10.2,2.5734
23/08/2003,29,11.8,2.683742
24/08/2003,28.6,14.2,2.828039
25/08/2003,29.3,12.7,2.787701
26/08/2003,28.4,14.2,2.84024
27/08/2003,28.7,14.6,2.899842
28/08/2003,29,16.2,3.040585
29/08/2003,26.7,14.6,2.790562
30/08/2003,28,15.4,2.945397
31/08/2003,28.5,16.8,3.08783
01/09/2003,29.3,14.8,3.019138
02/09/2003,28.4,16.4,3.080339
03/09/2003,26.8,16.8,3.010714
04/09/2003,27.2,14.8,2.912597
05/09/2003,27.8,13.8,2.897059
06/09/2003,28.2,11.4,2.769339
07/09/2003,28.6,11.8,2.837022
08/09/2003,28.8,13.6,2.989719
09/09/2003,29.3,14.5,3.101016
10/09/2003,30.3,13,3.077972
11/09/2003,29.6,14.6,3.154473
13/09/2003,30.6,17.6,3.453503
14/09/2003,29,15.4,3.193625
15/09/2003,29.8,14.3,3.184249
16/09/2003,24.8,15.6,2.92817
17/09/2003,26,15.8,3.040998
18/09/2003,27.2,17.1,3.234793
19/09/2003,30,14,3.224601
20/09/2003,30.2,16.2,3.412709
21/09/2003,30.2,16,3.410029
22/09/2003,28.4,16,3.288596
22/06/2004,24,8.8,1.77742
23/06/2004,25.5,9.8,1.913009
24/06/2004,25.4,11,1.972999
25/06/2004,24.4,11.5,1.946523
26/06/2004,24.6,9.6,1.855186
27/06/2004,26.4,13.4,2.160214
28/06/2004,30,10.8,1.173211
29/06/2004,26.1,10.6,1.995045
30/06/2004,24.8,10.2,1.90447
01/07/2004,25.7,10.6,1.977367
