@relation dadosClimaticos

@attribute data date yyyy-MM-dd
@attribute tmax numeric
@attribute tmin numeric
@attribute tmed numeric
@attribute etp numeric

@data
2008-07-08,27.6,11,19.3,5.5
2008-07-09,25.6,11.2,18.4,5.5
2008-07-10,25,9.3,17.15,4.9
2008-07-11,25.7,10.2,17.95,5
2008-07-12,27,9.8,18.4,6
2008-07-13,25.7,10.8,18.25,4.3
2008-07-14,25.8,9.6,17.7,5.5
2008-07-15,26.2,9.8,18,4.3
2008-07-16,26,9.2,17.6,4
2008-07-17,26.5,10.4,18.45,4.2
2008-07-18,28.8,10.2,19.5,4.6
2008-07-19,29.8,12.5,21.15,4.6
2008-07-20,29.8,13.3,21.55,4.6
2008-07-21,30.3,12.5,21.4,5.6
2008-07-22,30.7,13.6,22.15,6.7
2008-07-23,31,13.9,22.45,6.2
2008-07-24,28.6,13.7,21.15,6.4
2008-07-25,29.4,14.2,21.8,4.1
2008-07-26,28.6,14.4,21.5,5.5
2008-07-27,30.6,13.4,22,4.7
2008-07-28,30.2,18.2,24.2,4.8
2008-07-29,29.6,15.4,22.5,5.2
2008-07-30,29.4,13.3,21.35,7
2008-07-31,30.6,13.1,21.85,6.6
2008-08-01,30.7,14.8,22.75,6.2
2008-08-02,29.8,15.4,22.6,5.6
2008-08-03,22.1,16.7,19.4,1.6
2008-08-04,27.6,14.5,21.05,3.4
2008-08-05,24.1,15.8,19.95,2.9
2008-08-06,30.6,16.2,23.4,3.7
2008-08-07,32.1,16.4,24.25,7.3
2008-08-08,24.1,17.5,20.8,4.4
2008-08-09,29.9,15.6,22.75,4.5
2008-08-10,26.6,14.7,20.65,4.4
2008-08-11,32.6,14.1,23.35,3.6
2008-08-12,31.9,17,24.45,8.2
2008-08-13,32.6,16.6,24.6,7.4
2008-08-14,30.6,15.4,23,4.1
2008-08-15,30.9,15.6,23.25,5.8
2008-08-16,30.8,16.6,23.7,8.5
2008-08-17,31.6,15.3,23.45,7.1
2008-08-18,32,14.8,23.4,5.8
2008-08-19,31.3,15.9,23.6,7.4
2008-08-20,31.2,14.4,22.8,5.9
2008-08-21,31.4,14.4,22.9,6.7
2008-08-22,31.5,14.4,22.95,6
2008-08-23,30.9,16.3,23.6,6
2008-08-24,31.4,14.7,23.05,6.6
2008-08-25,32.2,15.4,23.8,5.9
2008-08-26,32.4,16.2,24.3,6.9
2008-08-27,31.9,16.5,24.2,6.8
2008-08-28,33.4,14.1,23.75,8.3
2008-08-29,32.6,16.3,24.45,7.8
2008-08-30,24.6,15.1,19.85,2.6
2008-08-31,27.7,9.6,18.65,5.2
2008-09-01,31.5,10.9,21.2,7.1
2008-09-02,33.2,14.2,23.7,7
2008-09-03,32.6,16.2,24.4,9.5
2008-09-04,35.4,16,25.7,6.4
2008-09-05,35.5,16.8,26.15,10.3
2008-09-06,32.4,18,25.2,7.1
2008-09-07,18,14.3,16.15,1.8
2008-09-08,32.6,15,23.8,5.8
2008-09-09,36.4,16.6,26.5,7.5
2008-09-10,36,18.5,27.25,8.7
2008-09-11,36.3,20.1,28.2,11.4
2008-09-12,36.3,19.8,28.05,11.6
2008-09-13,27.2,19.5,23.35,5.3
2008-09-14,27.8,16.8,22.3,3.1
2008-09-15,30.5,16.4,23.45,7
2008-09-16,30.1,14.8,22.45,7.8
2008-09-17,29.4,12.1,20.75,8.2
2008-09-18,28.5,11.4,19.95,9.2
2008-09-19,30.8,12,21.4,4.8
2008-09-20,29.5,15.4,22.45,4.1
2008-09-21,20.4,14.9,17.65,2.5
2008-09-22,22.7,12.5,17.6,5.1
2008-09-23,26.9,9,17.95,7.7
2008-09-24,28.2,11.6,19.9,7.3
2008-09-25,32.6,12.6,22.6,7.1
2008-09-26,25.6,16.3,20.95,2.7
2008-09-27,29.3,15,22.15,8.4
2008-09-28,29.6,12,20.8,8
2008-09-29,31.4,12.2,21.8,6.7
2008-09-30,29.8,15.2,22.5,5.1
2008-10-01,36,18.3,27.15,9.6
2008-10-02,22.9,18,20.45,1.9
2008-10-03,31.4,15.8,23.6,5
2008-10-04,33,19.6,26.3,7
2008-10-05,28.3,20.1,24.2,4.6
2008-10-06,21.4,18.7,20.05,1.7
2008-10-07,23.5,17.1,20.3,0.8
2008-10-08,28.7,16.5,22.6,9.1
2008-10-09,26.8,14.4,20.6,5.4
